Id	X	Y	Z
543	744497.2000	9885909.1000	-28.9471
544	744523.2000	9885909.1000	-28.5568
545	744549.2000	9885909.1000	-27.6924
546	744575.2000	9885909.1000	-27.2563
547	744601.2000	9885909.1000	-26.7586
548	744627.2000	9885909.1000	-26.1532
549	744653.2000	9885909.1000	-25.7478
550	744679.2000	9885909.1000	-25.6270
551	744705.2000	9885909.1000	-25.1787
552	744731.2000	9885909.1000	-24.8899
553	744757.2000	9885909.1000	-25.1416
554	744783.2000	9885909.1000	-25.2606
555	744809.2000	9885909.1000	-24.6239
556	744835.2000	9885909.1000	-22.7725
557	744861.2000	9885909.1000	-21.3598
558	744887.2000	9885909.1000	-20.3995
559	744913.2000	9885909.1000	-16.1671
560	744939.2000	9885909.1000	-13.9904
561	744965.2000	9885909.1000	-10.8950
562	744991.2000	9885909.1000	-9.5123
563	745017.2000	9885909.1000	-10.0186
564	745043.2000	9885909.1000	-12.1231
565	745069.2000	9885909.1000	-15.9898
566	745095.2000	9885909.1000	-18.0042
567	745121.2000	9885909.1000	-24.7293
568	745147.2000	9885909.1000	-23.3724
569	743821.2000	9885883.1000	-29.6182
570	743847.2000	9885883.1000	-29.5371
571	743873.2000	9885883.1000	-29.5322
572	743899.2000	9885883.1000	-30.3802
573	743925.2000	9885883.1000	-31.8930
574	743951.2000	9885883.1000	-33.9370
575	743977.2000	9885883.1000	-35.7405
576	744003.2000	9885883.1000	-34.8763
577	744029.2000	9885883.1000	-34.0694
578	744055.2000	9885883.1000	-34.7327
579	744081.2000	9885883.1000	-35.9758
580	744107.2000	9885883.1000	-31.5997
581	744133.2000	9885883.1000	-31.0957
582	744159.2000	9885883.1000	-29.7500
583	744185.2000	9885883.1000	-29.6411
584	744211.2000	9885883.1000	-29.2073
585	744237.2000	9885883.1000	-29.1836
586	744263.2000	9885883.1000	-29.0743
587	744289.2000	9885883.1000	-29.1682
588	744315.2000	9885883.1000	-29.4318
589	744341.2000	9885883.1000	-29.3606
590	744367.2000	9885883.1000	-29.6872
591	744393.2000	9885883.1000	-29.3610
592	744419.2000	9885883.1000	-29.0200
593	744445.2000	9885883.1000	-29.0553
594	744471.2000	9885883.1000	-29.0638
595	744497.2000	9885883.1000	-28.8105
596	744523.2000	9885883.1000	-28.6164
597	744549.2000	9885883.1000	-28.1513
598	744575.2000	9885883.1000	-27.5855
599	744601.2000	9885883.1000	-27.3595
600	744627.2000	9885883.1000	-26.7412
601	744653.2000	9885883.1000	-26.4388
602	744679.2000	9885883.1000	-26.0309
603	744705.2000	9885883.1000	-25.7357
604	744731.2000	9885883.1000	-25.5025
605	744757.2000	9885883.1000	-25.3486
606	744783.2000	9885883.1000	-25.2045
607	744809.2000	9885883.1000	-25.3262
608	744835.2000	9885883.1000	-24.8501
609	744861.2000	9885883.1000	-21.9756
610	744887.2000	9885883.1000	-20.9514
611	744913.2000	9885883.1000	-17.7561
612	744939.2000	9885883.1000	-15.7072
613	744965.2000	9885883.1000	-11.7607
614	744991.2000	9885883.1000	-10.8825
615	745017.2000	9885883.1000	-11.1411
616	745043.2000	9885883.1000	-12.9438
617	745069.2000	9885883.1000	-18.8680
618	745095.2000	9885883.1000	-19.6233
619	745121.2000	9885883.1000	-22.5334
620	745147.2000	9885883.1000	-24.0163
621	745173.2000	9885883.1000	-25.5040
622	743795.2000	9885857.1000	-28.6971
623	743821.2000	9885857.1000	-29.2621
624	743847.2000	9885857.1000	-29.3506
625	743873.2000	9885857.1000	-29.5373
626	743899.2000	9885857.1000	-30.0969
627	743925.2000	9885857.1000	-31.5960
628	743951.2000	9885857.1000	-33.8377
629	743977.2000	9885857.1000	-35.8114
630	744003.2000	9885857.1000	-35.1870
631	744029.2000	9885857.1000	-35.0120
632	744055.2000	9885857.1000	-35.6973
633	744081.2000	9885857.1000	-35.4838
634	744107.2000	9885857.1000	-33.0536
635	744133.2000	9885857.1000	-32.1948
636	744159.2000	9885857.1000	-30.1375
637	744185.2000	9885857.1000	-29.9433
638	744211.2000	9885857.1000	-28.8810
639	744237.2000	9885857.1000	-29.0703
640	744263.2000	9885857.1000	-28.8160
641	744289.2000	9885857.1000	-28.7114
642	744315.2000	9885857.1000	-28.8604
643	744341.2000	9885857.1000	-28.8803
644	744367.2000	9885857.1000	-28.5997
645	744393.2000	9885857.1000	-28.4313
646	744419.2000	9885857.1000	-28.2255
647	744445.2000	9885857.1000	-28.4819
648	744471.2000	9885857.1000	-28.6654
649	744497.2000	9885857.1000	-28.6852
650	744523.2000	9885857.1000	-28.7179
651	744549.2000	9885857.1000	-28.4999
652	744575.2000	9885857.1000	-28.0578
653	744601.2000	9885857.1000	-27.8488
654	744627.2000	9885857.1000	-27.7115
655	744653.2000	9885857.1000	-27.3302
656	744679.2000	9885857.1000	-26.9494
657	744705.2000	9885857.1000	-26.5135
658	744731.2000	9885857.1000	-26.2933
659	744757.2000	9885857.1000	-26.0905
660	744783.2000	9885857.1000	-25.6163
661	744809.2000	9885857.1000	-25.3722
662	744835.2000	9885857.1000	-24.5832
663	744861.2000	9885857.1000	-22.7531
664	744887.2000	9885857.1000	-21.2106
