Id	X	Y	Rugositas
306	744497.10120	9886060.79960	1.00011
307	744523.10120	9886060.79960	1.00009
308	744549.10120	9886060.79960	1.00006
309	744575.10120	9886060.79960	1.00003
310	744601.10120	9886060.79960	1.00008
311	744627.10120	9886060.79960	1.00012
312	744653.10120	9886060.79960	1.00015
313	744679.10120	9886060.79960	1.00021
314	744705.10120	9886060.79960	1.00020
315	744731.10120	9886060.79960	1.00023
316	744757.10120	9886060.79960	1.00031
317	744783.10120	9886060.79960	1.00004
318	744809.10120	9886060.79960	1.00004
319	744835.10120	9886060.79960	1.00010
320	744861.10120	9886060.79960	1.00023
321	744887.10120	9886060.79960	1.00057
322	744913.10120	9886060.79960	1.00037
323	744939.10120	9886060.79960	1.00134
324	744965.10120	9886060.79960	1.00262
325	744055.10120	9886034.79960	1.00009
326	744081.10120	9886034.79960	1.00041
327	744107.10120	9886034.79960	1.00067
328	744133.10120	9886034.79960	1.00081
329	744159.10120	9886034.79960	1.00078
330	744185.10120	9886034.79960	1.00055
331	744211.10120	9886034.79960	1.00052
332	744237.10120	9886034.79960	1.00007
333	744263.10120	9886034.79960	1.00001
334	744289.10120	9886034.79960	1.00003
335	744315.10120	9886034.79960	1.00004
336	744341.10120	9886034.79960	1.00005
337	744367.10120	9886034.79960	1.00015
338	744393.10120	9886034.79960	1.00026
339	744419.10120	9886034.79960	1.00043
340	744445.10120	9886034.79960	1.00027
341	744471.10120	9886034.79960	1.00033
342	744497.10120	9886034.79960	1.00025
343	744523.10120	9886034.79960	1.00009
344	744549.10120	9886034.79960	1.00017
345	744575.10120	9886034.79960	1.00031
346	744601.10120	9886034.79960	1.00034
347	744627.10120	9886034.79960	1.00015
348	744653.10120	9886034.79960	1.00017
349	744679.10120	9886034.79960	1.00034
350	744705.10120	9886034.79960	1.00045
351	744731.10120	9886034.79960	1.00038
352	744757.10120	9886034.79960	1.00035
353	744783.10120	9886034.79960	1.00010
354	744809.10120	9886034.79960	1.00010
355	744835.10120	9886034.79960	1.00014
356	744861.10120	9886034.79960	1.00024
357	744887.10120	9886034.79960	1.00057
358	744913.10120	9886034.79960	1.00064
359	744939.10120	9886034.79960	1.00187
360	744965.10120	9886034.79960	1.00298
361	744991.10120	9886034.79960	1.00171
362	744029.10120	9886008.79960	1.00022
363	744055.10120	9886008.79960	1.00015
364	744081.10120	9886008.79960	1.00046
365	744107.10120	9886008.79960	1.00075
366	744133.10120	9886008.79960	1.00017
367	744159.10120	9886008.79960	1.00010
368	744185.10120	9886008.79960	1.00010
369	744211.10120	9886008.79960	1.00008
370	744237.10120	9886008.79960	1.00001
371	744263.10120	9886008.79960	1.00001
372	744289.10120	9886008.79960	1.00002
373	744315.10120	9886008.79960	1.00006
374	744341.10120	9886008.79960	1.00004
375	744367.10120	9886008.79960	1.00013
376	744393.10120	9886008.79960	1.00016
377	744419.10120	9886008.79960	1.00016
378	744445.10120	9886008.79960	1.00010
379	744471.10120	9886008.79960	1.00031
380	744497.10120	9886008.79960	1.00029
381	744523.10120	9886008.79960	1.00029
382	744549.10120	9886008.79960	1.00047
383	744575.10120	9886008.79960	1.00088
384	744601.10120	9886008.79960	1.00062
385	744627.10120	9886008.79960	1.00011
386	744653.10120	9886008.79960	1.00013
387	744679.10120	9886008.79960	1.00031
388	744705.10120	9886008.79960	1.00042
389	744731.10120	9886008.79960	1.00026
390	744757.10120	9886008.79960	1.00032
391	744783.10120	9886008.79960	1.00026
392	744809.10120	9886008.79960	1.00034
393	744835.10120	9886008.79960	1.00015
394	744861.10120	9886008.79960	1.00015
395	744887.10120	9886008.79960	1.00063
396	744913.10120	9886008.79960	1.00055
397	744939.10120	9886008.79960	1.00027
398	744965.10120	9886008.79960	1.00061
399	744991.10120	9886008.79960	1.00012
400	743977.10120	9885982.79960	1.00004
401	744003.10120	9885982.79960	1.00012
402	744029.10120	9885982.79960	1.00040
403	744055.10120	9885982.79960	1.00056
404	744081.10120	9885982.79960	1.00050
405	744107.10120	9885982.79960	1.00053
406	744133.10120	9885982.79960	1.00013
407	744159.10120	9885982.79960	1.00008
408	744185.10120	9885982.79960	1.00006
409	744211.10120	9885982.79960	1.00007
410	744237.10120	9885982.79960	1.00003
411	744263.10120	9885982.79960	1.00001
412	744289.10120	9885982.79960	1.00000
413	744315.10120	9885982.79960	1.00005
414	744341.10120	9885982.79960	1.00003
415	744367.10120	9885982.79960	1.00005
416	744393.10120	9885982.79960	1.00010
417	744419.10120	9885982.79960	1.00008
418	744445.10120	9885982.79960	1.00005
419	744471.10120	9885982.79960	1.00032
420	744497.10120	9885982.79960	1.00012
421	744523.10120	9885982.79960	1.00012
422	744549.10120	9885982.79960	1.00020
423	744575.10120	9885982.79960	1.00044
424	744601.10120	9885982.79960	1.00037
425	744627.10120	9885982.79960	1.00018
426	744653.10120	9885982.79960	1.00027
427	744679.10120	9885982.79960	1.00024
428	744705.10120	9885982.79960	1.00018
429	744731.10120	9885982.79960	1.00011
430	744757.10120	9885982.79960	1.00012
431	744783.10120	9885982.79960	1.00009
432	744809.10120	9885982.79960	1.00044
433	744835.10120	9885982.79960	1.00035
434	744861.10120	9885982.79960	1.00044
435	744887.10120	9885982.79960	1.00070
436	744913.10120	9885982.79960	1.00082
437	744939.10120	9885982.79960	1.00036
438	744965.10120	9885982.79960	1.00045
439	744991.10120	9885982.79960	1.00025
440	745017.10120	9885982.79960	1.00048
441	743977.10120	9885956.79960	1.00009
442	744003.10120	9885956.79960	1.00022
443	744029.10120	9885956.79960	1.00080
444	744055.10120	9885956.79960	1.00172
445	744081.10120	9885956.79960	1.00137
446	744107.10120	9885956.79960	1.00070
447	744133.10120	9885956.79960	1.00018
448	744159.10120	9885956.79960	1.00004
449	744185.10120	9885956.79960	1.00008
450	744211.10120	9885956.79960	1.00009
451	744237.10120	9885956.79960	1.00006
452	744263.10120	9885956.79960	1.00001
453	744289.10120	9885956.79960	1.00001
454	744315.10120	9885956.79960	1.00004
455	744341.10120	9885956.79960	1.00004
456	744367.10120	9885956.79960	1.00003
457	744393.10120	9885956.79960	1.00006
458	744419.10120	9885956.79960	1.00012
459	744445.10120	9885956.79960	1.00014
460	744471.10120	9885956.79960	1.00056
461	744497.10120	9885956.79960	1.00027
462	744523.10120	9885956.79960	1.00013
463	744549.10120	9885956.79960	1.00013
464	744575.10120	9885956.79960	1.00012
465	744601.10120	9885956.79960	1.00010
466	744627.10120	9885956.79960	1.00019
467	744653.10120	9885956.79960	1.00033
468	744679.10120	9885956.79960	1.00027
469	744705.10120	9885956.79960	1.00028
470	744731.10120	9885956.79960	1.00040
471	744757.10120	9885956.79960	1.00032
472	744783.10120	9885956.79960	1.00030
473	744809.10120	9885956.79960	1.00050
474	744835.10120	9885956.79960	1.00036
475	744861.10120	9885956.79960	1.00057
476	744887.10120	9885956.79960	1.00038
477	744913.10120	9885956.79960	1.00081
478	744939.10120	9885956.79960	1.00035
479	744965.10120	9885956.79960	1.00076
480	744991.10120	9885956.79960	1.00228
481	745017.10120	9885956.79960	1.00118
482	745043.10120	9885956.79960	1.00118
483	743951.10120	9885930.79960	1.00026
484	743977.10120	9885930.79960	1.00015
485	744003.10120	9885930.79960	1.00020
486	744029.10120	9885930.79960	1.00058
487	744055.10120	9885930.79960	1.00077
488	744081.10120	9885930.79960	1.00059
489	744107.10120	9885930.79960	1.00048
490	744133.10120	9885930.79960	1.00019
491	744159.10120	9885930.79960	1.00013
492	744185.10120	9885930.79960	1.00008
493	744211.10120	9885930.79960	1.00004
494	744237.10120	9885930.79960	1.00006
495	744263.10120	9885930.79960	1.00002
496	744289.10120	9885930.79960	1.00001
497	744315.10120	9885930.79960	1.00001
498	744341.10120	9885930.79960	1.00001
499	744367.10120	9885930.79960	1.00002
500	744393.10120	9885930.79960	1.00005
501	744419.10120	9885930.79960	1.00016
502	744445.10120	9885930.79960	1.00023
503	744471.10120	9885930.79960	1.00088
504	744497.10120	9885930.79960	1.00035
505	744523.10120	9885930.79960	1.00007
506	744549.10120	9885930.79960	1.00007
507	744575.10120	9885930.79960	1.00006
508	744601.10120	9885930.79960	1.00002
509	744627.10120	9885930.79960	1.00015
510	744653.10120	9885930.79960	1.00025
511	744679.10120	9885930.79960	1.00032
512	744705.10120	9885930.79960	1.00036
513	744731.10120	9885930.79960	1.00055
514	744757.10120	9885930.79960	1.00054
515	744783.10120	9885930.79960	1.00055
516	744809.10120	9885930.79960	1.00050
517	744835.10120	9885930.79960	1.00031
518	744861.10120	9885930.79960	1.00069
